date,max_cells/L_raw,max_cells/L_raw_b1e5,bloom_number,n_blooms,n_large_blooms,n_days_bloom
1993Q1,566.65,,,0.0,,
1993Q3,1825.076923076923,,,0.0,,
1994Q1,555.5555555555555,,,0.0,,
1994Q3,8058508.433734939,12844211.538461538,2.0476190476190474,1.0,1.0,12.0
1995Q1,2541877.9036144577,5012000.0,4.0,0.0,,
1995Q3,1747814.0495867769,4196098.0,5.6891891891891895,2.0,2.0,74.0
1996Q1,4987552.301724138,11545000.0,7.144927536231884,1.0,1.0,51.0
1996Q3,15694.044642857143,429333.3333333333,,0.0,,
1997Q1,97398.31958762887,3127000.0,,0.0,,
1997Q3,17885.909090909092,279000.0,,0.0,,
1998Q1,1060398.5223880596,14167266.6,,0.0,,
1998Q3,1138717.034883721,7518487.153846154,9.0,0.0,,
1999Q1,552970.3333333334,2577076.8947368423,10.525,2.0,2.0,40.0
1999Q3,324743.95652173914,2454555.5555555555,12.0,0.0,,
2000Q1,6732.876543209876,152165.0,,0.0,,
2000Q3,74465.64383561644,1332750.0,,0.0,,
2001Q1,591.795918367347,,,0.0,,
2001Q3,4304307.933333334,6182816.890410959,13.0,1.0,1.0,46.0
2002Q1,342166.96,952522.8571428572,14.0,1.0,1.0,68.0
2002Q3,120941.8817204301,494158.71428571426,15.0,1.0,1.0,22.0
2003Q1,440490.990990991,1105720.9302325582,16.428571428571427,1.0,1.0,19.0
2003Q3,126604.05,386444.4666666667,19.229508196721312,3.0,2.0,59.0
2004Q1,156178.5,485396.1538461539,21.0,1.0,1.0,49.0
2004Q3,643.3953488372093,,,0.0,,
2005Q1,3973919.230769231,6610960.256410256,22.44360902255639,1.0,1.0,74.0
2005Q3,5182620.3282442745,7289204.301075269,23.368794326241133,1.0,1.0,92.0
2006Q1,3288.392592592593,166500.0,,0.0,,
2006Q3,2918037.842857143,4738646.5,26.0,1.0,1.0,82.0
2007Q1,74042.60714285714,914727.2727272727,27.0,1.0,1.0,23.0
2007Q3,612.1901408450705,,,0.0,,
2008Q1,123.76744186046511,,,0.0,,
2008Q3,10941.32,418666.6666666667,,0.0,,
2009Q1,398.97727272727275,,,0.0,,
2009Q3,45337.27205882353,2860150.0,,0.0,,
2010Q1,315.84444444444443,,,0.0,,
2010Q3,179.90076335877862,,,0.0,,
2011Q1,250.3288590604027,,,0.0,,
2011Q3,228104.94,2800333.3333333335,28.0,1.0,,
2012Q1,1786.2868217054263,,,0.0,,
2012Q3,973653.6328125,3171594.871794872,29.2625,0.0,,
2013Q1,945656.8928571428,3066872.093023256,30.0,1.0,1.0,64.0
2013Q3,7907.518796992481,181766.66666666666,,0.0,,
2014Q1,235.76470588235293,,,0.0,,
2014Q3,7397.8671875,214500.0,,0.0,,
